"filename", "language", "PHP", "JavaScript", "Markdown", "CSS", "XML", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\dpr\app\Providers\RouteServiceProvider.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 25, 9, 64
"c:\xampp\htdocs\dpr\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 30, 9, 56
"c:\xampp\htdocs\dpr\composer.json", "JSON", 0, 0, 0, 0, 0, 64, 0, 0, 1, 65
"c:\xampp\htdocs\dpr\composer.lock", "JSON", 0, 0, 0, 0, 0, 7705, 0, 0, 1, 7706
"c:\xampp\htdocs\dpr\config\app.php", "PHP", 80, 0, 0, 0, 0, 0, 0, 122, 34, 236
"c:\xampp\htdocs\dpr\config\auth.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 70, 15, 118
"c:\xampp\htdocs\dpr\config\broadcasting.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 22, 13, 65
"c:\xampp\htdocs\dpr\config\cache.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 34, 18, 107
"c:\xampp\htdocs\dpr\config\cors.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 29, 3, 35
"c:\xampp\htdocs\dpr\config\database.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 45, 22, 148
"c:\xampp\htdocs\dpr\config\filesystems.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 32, 13, 73
"c:\xampp\htdocs\dpr\config\fortify.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 94, 24, 146
"c:\xampp\htdocs\dpr\config\hashing.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\dpr\config\logging.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 24, 17, 105
"c:\xampp\htdocs\dpr\config\mail.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 47, 18, 111
"c:\xampp\htdocs\dpr\config\queue.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 32, 15, 94
"c:\xampp\htdocs\dpr\config\services.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 11, 7, 34
"c:\xampp\htdocs\dpr\config\session.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\dpr\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\dpr\database\factories\BusinessUnitFactory.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 11, 5, 31
"c:\xampp\htdocs\dpr\database\factories\FunctionalAreaFactory.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 11, 6, 33
"c:\xampp\htdocs\dpr\database\factories\ProcessFactory.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 11, 5, 39
"c:\xampp\htdocs\dpr\database\factories\RoleFactory.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 11, 5, 30
"c:\xampp\htdocs\dpr\database\factories\StatusFactory.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 12, 5, 31
"c:\xampp\htdocs\dpr\database\factories\UserFactory.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 15, 6, 48
"c:\xampp\htdocs\dpr\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\dpr\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\dpr\database\migrations\2014_10_12_200000_add_two_factor_columns_to_users_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 10, 5, 39
"c:\xampp\htdocs\dpr\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\dpr\database\migrations\2021_03_13_145301_create_roles_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\dpr\database\migrations\2021_03_13_145554_create_role_user_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 10, 5, 37
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_113926_create_glossaries_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 10, 4, 32
